family,quant,model_tag,image,raw_response
claude-opus,api,claude-opus-4-6,IMAG0019.JPG,"{""total_people"": 8, ""people"": [{""gender"": ""female"", ""has_backpack"": false}, {""gender"": ""male"", ""has_backpack"": false}, {""gender"": ""child"", ""has_backpack"": false}, {""gender"": ""male"", ""has_backpack"": false}, {""gender"": ""female"", ""has_backpack"": false}, {""gender"": ""male"", ""has_backpack"": false}, {""gender"": ""male"", ""has_backpack"": false}, {""gender"": ""male"", ""has_backpack"": false}], ""bicycle_present"": false}"
claude-opus,api,claude-opus-4-6,IMAG0026.JPG,"{""total_people"": 4, ""people"": [{""gender"": ""female"", ""has_backpack"": false}, {""gender"": ""female"", ""has_backpack"": false}, {""gender"": ""female"", ""has_backpack"": false}, {""gender"": ""female"", ""has_backpack"": false}], ""bicycle_present"": false}"
claude-opus,api,claude-opus-4-6,IMAG0027 (1).JPG,"{""total_people"": 4, ""people"": [{""gender"": ""male"", ""has_backpack"": true}, {""gender"": ""male"", ""has_backpack"": false}, {""gender"": ""male"", ""has_backpack"": true}, {""gender"": ""male"", ""has_backpack"": false}], ""bicycle_present"": false}"
claude-opus,api,claude-opus-4-6,IMAG0068 (1).JPG,"{""total_people"": 1, ""people"": [{""gender"": ""male"", ""has_backpack"": true}], ""bicycle_present"": false}"
claude-opus,api,claude-opus-4-6,IMAG0197.JPG,"{""total_people"": 5, ""people"": [{""gender"": ""female"", ""has_backpack"": false}, {""gender"": ""male"", ""has_backpack"": false}, {""gender"": ""male"", ""has_backpack"": false}, {""gender"": ""male"", ""has_backpack"": true}, {""gender"": ""male"", ""has_backpack"": false}], ""bicycle_present"": false}"
claude-opus,api,claude-opus-4-6,IMAG0360.JPG,"{""total_people"": 18, ""people"": [{""gender"": ""male"", ""has_backpack"": false}, {""gender"": ""female"", ""has_backpack"": true}, {""gender"": ""male"", ""has_backpack"": false}, {""gender"": ""female"", ""has_backpack"": false}, {""gender"": ""male"", ""has_backpack"": true}, {""gender"": ""female"", ""has_backpack"": true}, {""gender"": ""female"", ""has_backpack"": false}, {""gender"": ""female"", ""has_backpack"": false}, {""gender"": ""male"", ""has_backpack"": true}, {""gender"": ""female"", ""has_backpack"": false}, {""gender"": ""male"", ""has_backpack"": false}, {""gender"": ""male"", ""has_backpack"": false}, {""gender"": ""male"", ""has_backpack"": false}, {""gender"": ""male"", ""has_backpack"": false}, {""gender"": ""male"", ""has_backpack"": false}, {""gender"": ""male"", ""has_backpack"": false}, {""gender"": ""child"", ""has_backpack"": false}, {""gender"": ""female"", ""has_backpack"": false}], ""bicycle_present"": false}"
claude-opus,api,claude-opus-4-6,IMAG0370.JPG,"{""total_people"": 2, ""people"": [{""gender"": ""male"", ""has_backpack"": false}, {""gender"": ""female"", ""has_backpack"": false}], ""bicycle_present"": true}"
claude-opus,api,claude-opus-4-6,IMAG0471.JPG,"{""total_people"": 2, ""people"": [{""gender"": ""male"", ""has_backpack"": false}, {""gender"": ""male"", ""has_backpack"": true}], ""bicycle_present"": false}"
claude-opus,api,claude-opus-4-6,IMAG1703.JPG,"{""total_people"": 7, ""people"": [{""gender"": ""child"", ""has_backpack"": true}, {""gender"": ""child"", ""has_backpack"": true}, {""gender"": ""child"", ""has_backpack"": false}, {""gender"": ""child"", ""has_backpack"": true}, {""gender"": ""child"", ""has_backpack"": true}, {""gender"": ""child"", ""has_backpack"": false}, {""gender"": ""child"", ""has_backpack"": true}], ""bicycle_present"": false}"
claude-opus,api,claude-opus-4-6,IMAG2059.JPG,"{""total_people"": 13, ""people"": [{""gender"": ""child"", ""has_backpack"": true}, {""gender"": ""female"", ""has_backpack"": false}, {""gender"": ""female"", ""has_backpack"": true}, {""gender"": ""male"", ""has_backpack"": false}, {""gender"": ""male"", ""has_backpack"": false}, {""gender"": ""male"", ""has_backpack"": true}, {""gender"": ""male"", ""has_backpack"": false}, {""gender"": ""male"", ""has_backpack"": false}, {""gender"": ""male"", ""has_backpack"": false}, {""gender"": ""female"", ""has_backpack"": false}, {""gender"": ""female"", ""has_backpack"": true}, {""gender"": ""female"", ""has_backpack"": false}, {""gender"": ""female"", ""has_backpack"": false}], ""bicycle_present"": false}"
claude-opus,api,claude-opus-4-6,IMAG2095.JPG,"{""total_people"": 6, ""people"": [{""gender"": ""child"", ""has_backpack"": false}, {""gender"": ""male"", ""has_backpack"": false}, {""gender"": ""male"", ""has_backpack"": true}, {""gender"": ""child"", ""has_backpack"": false}, {""gender"": ""male"", ""has_backpack"": true}, {""gender"": ""female"", ""has_backpack"": false}], ""bicycle_present"": false}"
