run,family,quant,model_tag,variant,image,metric,score_0_1,weight,weighted_pts
exp1,gemma3-12b,f16,gemma3:12b-it-fp16,gemma3-12b/f16,IMAG0019.JPG,total_people,0.2857,0.5,14.29
exp1,gemma3-12b,f16,gemma3:12b-it-fp16,gemma3-12b/f16,IMAG0019.JPG,males,1.0,0.1,10.0
exp1,gemma3-12b,f16,gemma3:12b-it-fp16,gemma3-12b/f16,IMAG0019.JPG,females,0.2,0.1,2.0
exp1,gemma3-12b,f16,gemma3:12b-it-fp16,gemma3-12b/f16,IMAG0019.JPG,children,0.0,0.1,0.0
exp1,gemma3-12b,f16,gemma3:12b-it-fp16,gemma3-12b/f16,IMAG0019.JPG,people_with_backpack,1.0,0.1,10.0
exp1,gemma3-12b,f16,gemma3:12b-it-fp16,gemma3-12b/f16,IMAG0019.JPG,bicycle_present,1.0,0.1,10.0
exp1,gemma3-12b,f16,gemma3:12b-it-fp16,gemma3-12b/f16,IMAG0019.JPG,TOTAL,0.4629,1.0,46.29
exp1,gemma3-12b,f16,gemma3:12b-it-fp16,gemma3-12b/f16,IMAG0026.JPG,total_people,1.0,0.5,50.0
exp1,gemma3-12b,f16,gemma3:12b-it-fp16,gemma3-12b/f16,IMAG0026.JPG,males,0.0,0.1,0.0
exp1,gemma3-12b,f16,gemma3:12b-it-fp16,gemma3-12b/f16,IMAG0026.JPG,females,0.0,0.1,0.0
exp1,gemma3-12b,f16,gemma3:12b-it-fp16,gemma3-12b/f16,IMAG0026.JPG,children,1.0,0.1,10.0
exp1,gemma3-12b,f16,gemma3:12b-it-fp16,gemma3-12b/f16,IMAG0026.JPG,people_with_backpack,0.0,0.1,0.0
exp1,gemma3-12b,f16,gemma3:12b-it-fp16,gemma3-12b/f16,IMAG0026.JPG,bicycle_present,1.0,0.1,10.0
exp1,gemma3-12b,f16,gemma3:12b-it-fp16,gemma3-12b/f16,IMAG0026.JPG,TOTAL,0.7,1.0,70.0
exp1,gemma3-12b,f16,gemma3:12b-it-fp16,gemma3-12b/f16,IMAG0027 (1).JPG,total_people,0.75,0.5,37.5
exp1,gemma3-12b,f16,gemma3:12b-it-fp16,gemma3-12b/f16,IMAG0027 (1).JPG,males,0.75,0.1,7.5
exp1,gemma3-12b,f16,gemma3:12b-it-fp16,gemma3-12b/f16,IMAG0027 (1).JPG,females,1.0,0.1,10.0
exp1,gemma3-12b,f16,gemma3:12b-it-fp16,gemma3-12b/f16,IMAG0027 (1).JPG,children,1.0,0.1,10.0
exp1,gemma3-12b,f16,gemma3:12b-it-fp16,gemma3-12b/f16,IMAG0027 (1).JPG,people_with_backpack,0.5,0.1,5.0
exp1,gemma3-12b,f16,gemma3:12b-it-fp16,gemma3-12b/f16,IMAG0027 (1).JPG,bicycle_present,1.0,0.1,10.0
exp1,gemma3-12b,f16,gemma3:12b-it-fp16,gemma3-12b/f16,IMAG0027 (1).JPG,TOTAL,0.8,1.0,80.0
exp1,gemma3-12b,f16,gemma3:12b-it-fp16,gemma3-12b/f16,IMAG0068 (1).JPG,total_people,1.0,0.5,50.0
exp1,gemma3-12b,f16,gemma3:12b-it-fp16,gemma3-12b/f16,IMAG0068 (1).JPG,males,1.0,0.1,10.0
exp1,gemma3-12b,f16,gemma3:12b-it-fp16,gemma3-12b/f16,IMAG0068 (1).JPG,females,1.0,0.1,10.0
