run,family,quant,model_tag,variant,total_score,people_score,males_score,females_score,children_score,backpack_score,bicycle_score
exp2,qwen3vl-8b,q8,qwen3-vl:8b-instruct-q8_0,qwen3vl-8b/q8,91.49,95.8,75.0,88.18,90.91,81.82,100.0
exp2,qwen3vl-30b,q8,qwen3-vl:30b-a3b-instruct-q8_0,qwen3vl-30b/q8,88.09,90.29,79.55,79.09,100.0,70.78,100.0
exp2,qwen3vl-4b,q8,qwen3-vl:4b-instruct-q8_0,qwen3vl-4b/q8,87.9,92.98,78.03,70.91,90.91,74.24,100.0
exp1,llama3v-11b,f16,llama3.2-vision:11b-instruct-fp16,llama3v-11b/f16,86.86,98.05,67.42,79.09,72.73,59.09,100.0
exp1,llama3v-11b,q8,llama3.2-vision:11b-instruct-q8_0,llama3v-11b/q8,86.71,98.05,67.42,79.09,72.73,57.58,100.0
exp2,llama3v-11b,q8,llama3.2-vision:11b-instruct-q8_0,llama3v-11b/q8,85.15,97.52,63.64,70.0,72.73,57.58,100.0
exp1,llama3v-11b,q4,llama3.2-vision:11b-instruct-q4_K_M,llama3v-11b/q4,84.27,95.7,60.61,71.82,72.73,59.09,100.0
exp1,minicpm-v-8b,q4,minicpm-v:8b-2.6-q4_K_M,minicpm-v-8b/q4,80.04,87.04,60.61,63.18,90.91,50.43,100.0
exp1,minicpm-v-8b,f16,minicpm-v:8b-2.6-fp16,minicpm-v-8b/f16,79.88,87.04,60.61,63.18,90.91,48.92,100.0
exp1,minicpm-v-8b,q8,minicpm-v:8b-2.6-q8_0,minicpm-v-8b/q8,79.88,87.04,60.61,63.18,90.91,48.92,100.0
exp1,llava-13b,f16,llava:13b-v1.6-vicuna-fp16,llava-13b/f16,76.15,87.28,53.79,51.36,72.73,47.19,100.0
exp1,llava-13b,q8,llava:13b-v1.6-vicuna-q8_0,llava-13b/q8,76.15,87.28,53.79,51.36,72.73,47.19,100.0
exp1,llava-13b,q4,llava:13b-v1.6-vicuna-q4_K_M,llava-13b/q4,75.56,87.28,53.79,52.27,72.73,49.46,90.91
exp1,qwen2.5vl-3b,f16,qwen2.5vl:3b-fp16,qwen2.5vl-3b/f16,72.13,76.31,50.0,47.27,81.82,60.61,100.0
exp1,qwen2.5vl-3b,q8,qwen2.5vl:3b-q8_0,qwen2.5vl-3b/q8,70.91,74.04,49.24,47.27,81.82,60.61,100.0
exp1,llava-34b,q4,llava:34b-v1.6-q4_K_M,llava-34b/q4,70.83,80.59,50.0,50.91,54.55,49.89,100.0
exp1,qwen2.5vl-7b,q8,qwen2.5vl:7b-q8_0,qwen2.5vl-7b/q8,68.2,68.67,45.45,63.64,81.82,47.73,100.0
exp1,qwen2.5vl-7b,f16,qwen2.5vl:7b-fp16,qwen2.5vl-7b/f16,68.2,68.67,45.45,63.64,81.82,47.73,100.0
exp1,gemma3-12b,q4,gemma3:12b-it-q4_K_M,gemma3-12b/q4,67.72,66.13,57.58,61.82,63.64,63.53,100.0
exp1,gemma3-12b,q8,gemma3:12b-it-q8_0,gemma3-12b/q8,67.42,69.57,53.79,54.55,63.64,54.44,100.0
exp1,gemma3-12b,f16,gemma3:12b-it-fp16,gemma3-12b/f16,67.42,69.57,53.79,54.55,63.64,54.44,100.0
exp1,qwen2.5vl-7b,q4,qwen2.5vl:7b-q4_K_M,qwen2.5vl-7b/q4,67.06,68.67,43.18,63.64,81.82,38.64,100.0
exp1,qwen2.5vl-32b,q8,qwen2.5vl:32b-q8_0,qwen2.5vl-32b/q8,62.14,49.05,42.86,71.43,85.71,76.19,100.0
exp1,qwen2.5vl-32b,q4,qwen2.5vl:32b-q4_K_M,qwen2.5vl-32b/q4,60.5,51.83,42.5,60.0,90.0,53.33,100.0
exp1,qwen2.5vl-3b,q4,qwen2.5vl:3b-q4_K_M,qwen2.5vl-3b/q4,57.82,55.1,46.97,48.18,81.82,34.85,90.91
exp1,moondream,q4,moondream:1.8b-v2-q4_K_M,moondream/q4,46.02,53.33,29.63,47.22,88.89,16.67,11.11
exp1,moondream,f16,moondream:1.8b-v2-fp16,moondream/f16,19.72,5.56,11.11,47.22,88.89,11.11,11.11
exp1,moondream,q8,moondream:1.8b-v2-q8_0,moondream/q8,19.72,5.56,11.11,47.22,88.89,11.11,11.11
